-77.46154,169.186,70,12.0,FALSE,,1
-77.46372064385974,169.2834772207855,50,4.05,FALSE,,1
-77.46360519200115,169.28170224836293,50,3.95,FALSE,,1
-77.46320120530308,169.282259631172,50,4.05,FALSE,,1
-77.46279721743299,169.28281697856704,50,3.95,FALSE,,1
-77.46291266194667,169.2845918486556,50,4.05,FALSE,,1
-77.46331665348913,169.28403455242622,50,3.95,FALSE,,1
-77.4634320900294,169.2858095059074,50,4.05,FALSE,,1
-77.46302809481499,169.28636675096806,50,3.95,FALSE,,1
-77.46314351603753,169.28814168550196,50,4.05,FALSE,,1
-77.46354751492363,169.28758449161307,50,3.95,FALSE,,1
-77.4636629281714,169.28935950954084,50,4.05,FALSE,,1
-77.46325892561397,169.28991665225493,50,3.95,FALSE,,1
-77.46337432354397,169.29169165122448,50,4.05,FALSE,,1
-77.46348970982723,169.29346668240825,50,3.95,FALSE,,1
-77.46308569875745,169.29402368736893,50,4.05,FALSE,,1
-77.46297031614472,169.2922487073634,50,3.95,FALSE,,1
-77.46285492188554,169.29047375956898,50,4.05,FALSE,,1
-77.46245091698619,169.29103083148638,50,3.95,FALSE,,1
-77.46204691091611,169.29158786801042,50,4.05,FALSE,,1
-77.46216229783441,169.29336271346247,50,3.95,FALSE,,1
-77.46256630757483,169.29280572810825,50,4.05,FALSE,,1
-77.46268168651734,169.29458065693825,50,3.95,FALSE,,1
-77.46279705381336,169.2963556179739,50,4.05,FALSE,,1
-77.46320106972345,169.29579869958317,50,3.95,FALSE,,1
-77.46360508446335,169.29524174580376,50,4.05,FALSE,,1
-77.46400909803297,169.29468475663234,50,3.95,FALSE,,1
-77.46441311043218,169.29412773206556,50,4.05,FALSE,,1
-77.464297728455,169.2923525662995,50,3.95,FALSE,,1
-77.46389371972643,169.2929096420529,50,4.05,FALSE,,1
-77.46377832977245,169.29113455968826,50,3.95,FALSE,,1
-77.46418233483008,169.29057743275132,50,4.05,FALSE,,1
-77.46406692955776,169.28880233142337,50,3.95,FALSE,,1
-77.46447092977287,169.2882451178992,50,4.05,FALSE,,1
-77.46435550918166,169.28646999761384,50,3.95,FALSE,,1
-77.46395151263839,169.28702726231813,50,4.05,FALSE,,1
-77.46383608407226,169.28525222543803,50,3.95,FALSE,,1
-77.46424007694341,169.28469490955663,50,4.05,FALSE,,1
-77.46412463305845,169.28291985373002,50,3.95,FALSE,,1
-77.46412463305845,169.28291985373002,70,12.0,FALSE,,1
-77.461479,169.1849841,50,5,FALSE,,1
-77.461479,169.1849841,20,3,FALSE,,1
