FID,lon,lat
285,169.2231091,-77.4618629135
286,169.22316096,-77.4618195556
287,169.223212819,-77.4617761978
288,169.223264677,-77.46173284
289,169.223306403,-77.4616891989
290,169.223306791,-77.4616444025
291,169.223307178,-77.461599606
292,169.223352173,-77.4615560536
293,169.22340392,-77.4615126895
294,169.223455667,-77.4614693254
295,169.223506212,-77.4614259123
296,169.223530573,-77.4613814292
297,169.223554933,-77.4613369462
298,169.22358314,-77.4612925785
299,169.22361519,-77.461248326
300,169.22364724,-77.4612040735
301,169.22367929,-77.4611598211
302,169.22371134,-77.4611155686
303,169.223743389,-77.4610713161
304,169.223775438,-77.4610270636
305,169.223807487,-77.4609828111
306,169.22380681,-77.4609381793
307,169.223796631,-77.4608934374
308,169.223786452,-77.4608486954
309,169.223776274,-77.4608039535
310,169.223765283,-77.4607592208
311,169.223753839,-77.4607144933
312,169.223742395,-77.4606697658
313,169.223730951,-77.4606250383
314,169.223719507,-77.4605803108
315,169.223708064,-77.4605355833
316,169.22369662,-77.4604908557
317,169.223685177,-77.4604461282
318,169.223673733,-77.4604014007
319,169.22366229,-77.4603566732
320,169.223650847,-77.4603119457
321,169.223639403,-77.4602672182
322,169.22362796,-77.4602224907
323,169.223616517,-77.4601777631
324,169.223605074,-77.4601330356
325,169.223593632,-77.4600883081
326,169.223582189,-77.4600435806
327,169.223570746,-77.4599988531
328,169.223559304,-77.4599541256
329,169.223547861,-77.4599093981
330,169.223536419,-77.4598646705
331,169.223524976,-77.459819943
332,169.223507403,-77.4597753297
333,169.223483626,-77.4597308318
334,169.223459848,-77.459686334
335,169.223436071,-77.4596418362
336,169.223412294,-77.4595973383
337,169.223388517,-77.4595528405
338,169.22336474,-77.4595083427
339,169.223340964,-77.4594638448
340,169.223317187,-77.459419347
341,169.223293411,-77.4593748492
342,169.223278103,-77.4593302193
343,169.223272382,-77.4592854401
344,169.223266661,-77.4592406608
345,169.223260941,-77.4591958815
346,169.22325522,-77.4591511023
347,169.223249499,-77.459106323
