FID,lon,lat
187,169.2332383,-77.46039359
188,169.2331266,-77.46043101
189,169.2329835,-77.46046328
190,169.2328405,-77.46049556
191,169.2327103,-77.46053021
192,169.232586,-77.46056596
193,169.2324617,-77.46060171
194,169.2323374,-77.46063747
195,169.2322132,-77.46067322
196,169.2320889,-77.46070897
197,169.2319646,-77.46074472
198,169.2318468,-77.46078144
199,169.2317371,-77.46081937
200,169.2316273,-77.4608573
201,169.2315176,-77.46089524
202,169.2314078,-77.46093317
203,169.2312981,-77.4609711
204,169.231188,-77.46100898
205,169.2310769,-77.46104673
206,169.2309659,-77.46108448
207,169.2308548,-77.46112223
208,169.2307438,-77.46115998
209,169.2306327,-77.46119773
210,169.2305217,-77.46123548
211,169.2304106,-77.46127323
212,169.2302996,-77.46131098
213,169.2301885,-77.46134873
214,169.2300775,-77.46138648
215,169.2299938,-77.46142741
216,169.2299108,-77.46146842
217,169.2298278,-77.46150943
218,169.2297447,-77.46155044
219,169.2296617,-77.46159145
220,169.2295787,-77.46163245
221,169.2294957,-77.46167346
222,169.2294127,-77.46171447
223,169.2293308,-77.46175559
224,169.2292505,-77.46179685
225,169.2291702,-77.46183812
226,169.2290899,-77.46187938
227,169.2290096,-77.46192064
228,169.2289293,-77.4619619
229,169.2288489,-77.46200316
230,169.2287686,-77.46204442
231,169.2286883,-77.46208568
232,169.2285591,-77.46212045
233,169.2284264,-77.46215475
234,169.2282937,-77.46218905
235,169.228161,-77.46222334
236,169.2280283,-77.46225764
237,169.2278956,-77.46229194
238,169.2277629,-77.46232623
239,169.2276302,-77.46236053
240,169.2274975,-77.46239482
241,169.2273369,-77.46242111
242,169.2271486,-77.46243942
243,169.2269604,-77.46245773
244,169.2267721,-77.46247604
245,169.2265838,-77.46249435
246,169.2263955,-77.46251266
247,169.2262072,-77.46253097
248,169.226019,-77.46254927
249,169.2258307,-77.46256758
250,169.2256424,-77.46258589
251,169.2254541,-77.4626042
252,169.2252658,-77.46262251
253,169.2250776,-77.46264081
254,169.2248997,-77.46263119
255,169.2247273,-77.46260657
256,169.224555,-77.46258194
257,169.2243827,-77.46255732
258,169.2242343,-77.46252677
259,169.2241002,-77.46249275
260,169.223966,-77.46245873
261,169.2238318,-77.4624247
262,169.2236993,-77.46239036
263,169.2235678,-77.46235584
264,169.2234363,-77.46232133
265,169.2233048,-77.46228681
266,169.2232672,-77.46224641
267,169.2232938,-77.46220199
268,169.223326,-77.46215776
269,169.2233634,-77.46211371
270,169.2234009,-77.46206966
271,169.2234383,-77.4620256
272,169.2234758,-77.46198155
273,169.2235132,-77.4619375
274,169.2235507,-77.46189345
275,169.2235881,-77.46184939
276,169.2236256,-77.46180534
277,169.223663,-77.46176129
278,169.2237004,-77.46171724
279,169.2237379,-77.46167318
280,169.2237629,-77.46162875
281,169.2237833,-77.46158417
282,169.2238064,-77.46153966
283,169.2238317,-77.4614952
284,169.2238569,-77.46145074
285,169.2238822,-77.46140628
286,169.2239105,-77.46136191
287,169.2239406,-77.4613176
288,169.2239709,-77.46127328
289,169.2240029,-77.46122903
290,169.224035,-77.46118478
291,169.224067,-77.46114053
292,169.224099,-77.46109627
293,169.2241311,-77.46105202
294,169.2241631,-77.46100777
295,169.2241952,-77.46096352
296,169.22421,-77.46091918
297,169.2241873,-77.46087465
298,169.2241646,-77.46083013
299,169.2241419,-77.4607856
300,169.2241231,-77.46074101
301,169.2241119,-77.46069628
302,169.2241007,-77.46065155
303,169.2240895,-77.46060682
304,169.2240783,-77.46056209
305,169.2240671,-77.46051736
306,169.2240559,-77.46047263
307,169.2240447,-77.4604279
308,169.2240335,-77.46038317
309,169.2240223,-77.46033844
310,169.2240111,-77.4602937
311,169.2239999,-77.46024897
312,169.2239888,-77.46020424
313,169.2239776,-77.46015951
314,169.2239664,-77.46011478
315,169.2239552,-77.46007005
316,169.223944,-77.46002532
317,169.2239328,-77.45998059
318,169.2239216,-77.45993586
319,169.2239104,-77.45989113
320,169.2238992,-77.4598464
321,169.223888,-77.45980167
322,169.2238768,-77.45975694
323,169.2238667,-77.4597122
324,169.2238566,-77.45966745
325,169.2238465,-77.45962271
326,169.2238363,-77.45957797
327,169.2238262,-77.45953323
328,169.2238161,-77.45948848
329,169.223806,-77.45944374
330,169.2237959,-77.459399
331,169.2237858,-77.45935426
332,169.223773,-77.45930955
333,169.2237547,-77.45926493
334,169.2237364,-77.45922031
335,169.2237181,-77.45917569
336,169.2236998,-77.45913107
337,169.2236815,-77.45908645
338,169.2236633,-77.45904183
339,169.223645,-77.45899721
340,169.2236267,-77.45895259
341,169.2236084,-77.45890797
342,169.2235901,-77.45886335
343,169.2235718,-77.45881873
344,169.2235535,-77.45877411
345,169.2235352,-77.45872949
346,169.22355,-77.45868624
347,169.2236424,-77.45864619
348,169.2237348,-77.45860614
349,169.2238272,-77.45856609
350,169.2239196,-77.45852604
351,169.2240119,-77.45848599
352,169.2241043,-77.45844594
353,169.2241967,-77.45840589
354,169.2242891,-77.45836583
355,169.2243815,-77.45832578
356,169.2244739,-77.45828573
357,169.2245662,-77.45824568
358,169.2246586,-77.45820563
359,169.224751,-77.45816558
360,169.2248434,-77.45812553
361,169.2249358,-77.45808548
362,169.224986,-77.45804583
363,169.2248779,-77.45800768
364,169.2247699,-77.45796952
365,169.2246618,-77.45793137
366,169.2245537,-77.45789322
367,169.2244457,-77.45785506
368,169.2243376,-77.45781691
369,169.2242295,-77.45777876
370,169.2241215,-77.4577406
371,169.2240134,-77.45770245
372,169.2239054,-77.45766429
373,169.2237973,-77.45762614
374,169.2236892,-77.45758799
375,169.2235812,-77.45754983
376,169.2234731,-77.45751168
377,169.2233651,-77.45747353
378,169.2232185,-77.45744236
379,169.223065,-77.45741244
380,169.2229115,-77.45738252
381,169.2227581,-77.4573526
382,169.2226046,-77.45732267
383,169.2224511,-77.45729275
384,169.2222977,-77.45726283
385,169.2221442,-77.45723291
386,169.2219907,-77.45720299
387,169.2218373,-77.45717307
388,169.2216838,-77.45714315
389,169.2215303,-77.45711323
390,169.2213769,-77.45708331
391,169.2212234,-77.45705338
392,169.221084,-77.4570204
393,169.2209458,-77.45698715
394,169.2208077,-77.4569539
395,169.2206695,-77.45692064
396,169.2205313,-77.45688739
397,169.2203931,-77.45685414
398,169.220255,-77.45682089
399,169.2201168,-77.45678764
400,169.2199786,-77.45675439
401,169.2198404,-77.45672114
402,169.2197023,-77.45668788
403,169.2195641,-77.45665463
404,169.2194259,-77.45662138
405,169.2192878,-77.45658813
406,169.2191741,-77.45655195
407,169.2191192,-77.45650877
408,169.2190643,-77.45646559
409,169.2190095,-77.45642241
410,169.2189546,-77.45637923
411,169.2188997,-77.45633605
412,169.2188448,-77.45629287
413,169.2187899,-77.45624969
414,169.218735,-77.45620651
415,169.2186801,-77.45616333
416,169.218641,-77.45611937
417,169.2186055,-77.45607525
418,169.2185699,-77.45603113
419,169.2185343,-77.455987
420,169.2185066,-77.45594264
421,169.2184871,-77.45589805
422,169.2184676,-77.45585345
423,169.2184482,-77.45580886
424,169.2184287,-77.45576426
425,169.2184092,-77.45571967
426,169.2183897,-77.45567507
427,169.2183702,-77.45563047
428,169.2183458,-77.455586
429,169.2183169,-77.45554165
430,169.218288,-77.45549729
431,169.2182591,-77.45545294
432,169.2182302,-77.45540859
433,169.2182014,-77.45536423
434,169.2181725,-77.45531988
435,169.2181436,-77.45527552
436,169.2181147,-77.45523117
437,169.2180858,-77.45518681
438,169.2180569,-77.45514246
439,169.2180223,-77.45509837
440,169.2179648,-77.45505535
441,169.2179072,-77.45501234
442,169.2178497,-77.45496932
443,169.2177921,-77.4549263
444,169.2177346,-77.45488329
445,169.2176771,-77.45484027
446,169.2176195,-77.45479725
447,169.217562,-77.45475424
448,169.2175045,-77.45471122
449,169.2174469,-77.4546682
450,169.2173894,-77.45462519
451,169.2173319,-77.45458217
452,169.2172743,-77.45453915
453,169.2172168,-77.45449614
454,169.2171593,-77.45445312
455,169.2171017,-77.4544101
456,169.2170442,-77.45436708
457,169.2169867,-77.45432407
458,169.2169291,-77.45428105
459,169.2168716,-77.45423803
460,169.2168141,-77.45419502
461,169.2167566,-77.454152
462,169.216699,-77.45410898
463,169.2166415,-77.45406597
464,169.216584,-77.45402295
465,169.2165264,-77.45397993
466,169.2164689,-77.45393691
467,169.2164114,-77.4538939
468,169.2163539,-77.45385088
469,169.2162963,-77.45380786
470,169.216181,-77.4537716
471,169.2160478,-77.4537374
472,169.2159146,-77.45370321
473,169.2157814,-77.45366902
474,169.2156482,-77.45363483
475,169.215515,-77.45360064
476,169.2153796,-77.45356692
477,169.2152239,-77.45353756
478,169.2150682,-77.45350819
479,169.2149125,-77.45347883
480,169.2147568,-77.45344946
481,169.2146012,-77.4534201
482,169.2144455,-77.45339074
483,169.2142898,-77.45336137
484,169.2141341,-77.45333201
485,169.2139785,-77.45330264
486,169.2138228,-77.45327328
487,169.2136671,-77.45324391
488,169.2135114,-77.45321454
489,169.2133558,-77.45318518
490,169.2132001,-77.45315581
491,169.2130444,-77.45312645
492,169.2128887,-77.45309708
493,169.2127331,-77.45306772
494,169.2125774,-77.45303835
495,169.2124217,-77.45300899
496,169.2122705,-77.45297916
497,169.2122653,-77.45293438
498,169.2122727,-77.45289026
499,169.2123705,-77.45285081
500,169.2124682,-77.45281137
501,169.2125659,-77.45277193
502,169.2126636,-77.45273248
503,169.2127613,-77.45269304
504,169.212859,-77.4526536
505,169.2129568,-77.45261415
506,169.2130545,-77.45257471
507,169.2131522,-77.45253527
508,169.2132499,-77.45249582
509,169.2133476,-77.45245638
510,169.2134453,-77.45241693
511,169.213543,-77.45237749
512,169.2136408,-77.45233805
513,169.2137385,-77.4522986
514,169.2138362,-77.45225916
515,169.2139339,-77.45221971
516,169.2140316,-77.45218027
517,169.2141293,-77.45214083
518,169.214227,-77.45210138
519,169.2143247,-77.45206194
520,169.2144224,-77.45202249
521,169.2145201,-77.45198305
522,169.2146178,-77.45194361
523,169.2147155,-77.45190416
524,169.2148132,-77.45186472
525,169.2149218,-77.45182701
526,169.2150665,-77.45179512
527,169.2152113,-77.45176323
528,169.215356,-77.45173133
529,169.2155007,-77.45169943
530,169.2156088,-77.4516613
531,169.215717,-77.45162316
532,169.2158251,-77.45158503
533,169.2159333,-77.45154689
534,169.2160414,-77.45150876
535,169.2161496,-77.45147062
536,169.2162577,-77.45143249
537,169.2163659,-77.45139435
538,169.216474,-77.45135622
539,169.2165822,-77.45131808
540,169.2166903,-77.45127995
541,169.2167984,-77.45124181
542,169.2169066,-77.45120368
543,169.2170147,-77.45116554
544,169.2171229,-77.45112741
545,169.217231,-77.45108927
546,169.2173391,-77.45105113
547,169.2174473,-77.451013
548,169.2175554,-77.45097486
549,169.2176636,-77.45093673
550,169.2177773,-77.45089941
551,169.217898,-77.45086309
552,169.2180186,-77.45082676
553,169.2181392,-77.45079044
554,169.2182598,-77.45075412
555,169.2182692,-77.45071834
556,169.2181411,-77.45068323
557,169.2180131,-77.45064813
558,169.217885,-77.45061303
559,169.217757,-77.45057792
560,169.217629,-77.45054282
561,169.2175009,-77.45050772
562,169.2173729,-77.45047261
563,169.2172449,-77.45043751
564,169.2171168,-77.45040241
565,169.2169888,-77.4503673
566,169.2168608,-77.4503322
567,169.2167327,-77.45029709
568,169.2166047,-77.45026199
569,169.2164767,-77.45022689
570,169.2163486,-77.45019178
571,169.2162206,-77.45015668
572,169.2160926,-77.45012157
573,169.2159697,-77.45008569
574,169.2158633,-77.45004732
575,169.2157569,-77.45000896
576,169.2156505,-77.4499706
577,169.2155441,-77.44993223
578,169.2155602,-77.44988908
579,169.2155985,-77.44984506
580,169.2156367,-77.44980104
581,169.2156749,-77.44975702
582,169.2158053,-77.44972414
583,169.2159572,-77.44969388
584,169.2161091,-77.44966362
585,169.2162611,-77.44963335
586,169.216413,-77.44960309
587,169.216565,-77.44957283
588,169.2167169,-77.44954256
589,169.2168689,-77.4495123
590,169.2170208,-77.44948203
591,169.2171727,-77.44945177
592,169.2173247,-77.44942151
593,169.2174766,-77.44939124
594,169.2176286,-77.44936098
595,169.2177805,-77.44933071
596,169.2178958,-77.44929524
597,169.2179624,-77.44925285
598,169.218029,-77.44921045
599,169.2180955,-77.44916806
600,169.2181621,-77.44912566
601,169.2182287,-77.44908327
602,169.2182953,-77.44904088
603,169.2183618,-77.44899848
604,169.2184284,-77.44895609
605,169.218495,-77.44891369
606,169.2185616,-77.4488713
607,169.2186281,-77.4488289
608,169.2186947,-77.44878651
609,169.2187613,-77.44874411
610,169.2188279,-77.44870172
611,169.2188944,-77.44865933
612,169.2190035,-77.4486258
613,169.2191956,-77.44860954
614,169.2193876,-77.44859329
615,169.2195796,-77.44857703
616,169.2197717,-77.44856078
617,169.2199647,-77.44854831
618,169.2201643,-77.44855948
619,169.2203639,-77.44857064
620,169.2205634,-77.44858181
621,169.2207324,-77.44860665
622,169.2208961,-77.44863386
623,169.2210598,-77.44866107
624,169.2212235,-77.44868828
625,169.2213872,-77.44871549
626,169.2215509,-77.4487427
627,169.2217146,-77.44876991
628,169.2218783,-77.44879712
629,169.222042,-77.44882433
630,169.2222057,-77.44885154
631,169.2223695,-77.44887874
632,169.2225332,-77.44890595
633,169.2227004,-77.44893208
634,169.2228721,-77.44895685
635,169.2230438,-77.44898163
636,169.2232155,-77.4490064
637,169.2233872,-77.44903117
638,169.2235589,-77.44905595
639,169.2237306,-77.44908072
640,169.2239023,-77.44910549
641,169.224074,-77.44913026
642,169.2242457,-77.44915503
643,169.2244174,-77.44917981
644,169.2245891,-77.44920458
645,169.2247608,-77.44922935
646,169.2249325,-77.44925412
647,169.2251042,-77.44927889
648,169.2252759,-77.44930366
649,169.225466,-77.44932087
650,169.2256569,-77.44933775
651,169.2258478,-77.44935463
652,169.2260387,-77.44937152
653,169.2262296,-77.4493884
654,169.2264205,-77.44940528
655,169.2266114,-77.44942217
656,169.2268022,-77.44943905
657,169.2269931,-77.44945593
658,169.227184,-77.44947281
659,169.2273749,-77.4494897
660,169.2275658,-77.44950658
661,169.2277567,-77.44952346
662,169.2279476,-77.44954034
663,169.2281385,-77.44955722
664,169.2283294,-77.44957411
665,169.2285141,-77.44959317
666,169.2286701,-77.44962244
667,169.2288261,-77.44965171
668,169.2289821,-77.44968098
669,169.2290692,-77.44971977
670,169.2291248,-77.4497629
671,169.2291804,-77.44980604
672,169.229236,-77.44984917
673,169.2292567,-77.44989275
674,169.2292247,-77.44993701
675,169.2291926,-77.44998126
676,169.2290634,-77.45001605
677,169.2289301,-77.45005017
678,169.2287807,-77.45008102
679,169.2286313,-77.45011187
680,169.2284818,-77.45014272
681,169.2283324,-77.45017357
682,169.228271,-77.45021054
683,169.2283104,-77.45025451
684,169.2283497,-77.45029848
685,169.2284052,-77.45034144
686,169.2284805,-77.45038313
687,169.2285558,-77.45042483
688,169.2286311,-77.45046653
689,169.2287065,-77.45050823
690,169.2287818,-77.45054992
691,169.2288571,-77.45059162
692,169.2289325,-77.45063332
693,169.2290078,-77.45067501
694,169.2290831,-77.45071671
695,169.2291585,-77.45075841
696,169.2292338,-77.4508001
697,169.2293091,-77.4508418
698,169.2293845,-77.4508835
699,169.2294598,-77.45092519
700,169.2295351,-77.45096689
701,169.2296105,-77.45100859
702,169.2296858,-77.45105029
703,169.2297611,-77.45109198
704,169.2298365,-77.45113368
705,169.2300051,-77.45115933
706,169.2301746,-77.45118481
707,169.2303441,-77.4512103
