ID, Lat, Long
0,37.411821,-121.995599
1,37.41226,-121.995663
2,37.412439,-121.995319
3,37.412386,-121.994932
4,37.412246,-121.994216
5,37.411622,-121.994141
6,37.411821,-121.995599
